hlt   -1 остановка программы
push   1 пуш в стек
pop    2 поп из стека
in     3  отложенный ввод переменной
out    4 мгновенный вывод стек попа
add    5 арифметическое сложение
sub    6 арифметическое вычитание
mul    7 арифметическое умножение
div    8 арифметическое деление
jmp    9 джамп
ja    10 джамп
jae   11 джамп
jb    12 джамп
jbe   13 джамп
je    14 джамп
jne   15 джамп
call  16 вызов функции
ret   17 вернуться к точке вызова функции
sqrt  18 квадратный корень
sqr   19 квадрат
mod   20 остаток от деления
idiv  21 целочисленное делениу
frame 22 печать видеопамяти
